Campaign_ID,Campaign_Name,Channel,Region,Start_Date,End_Date,Impressions,Clicks,Conversions,Spend,Revenue,Device,Age_Group
CMP28445,Back To School,Email,South,04-11-2024,20-05-2024,291203,13439,2116,547.68,453.27,Unknown,18-24
CMP04542,Diwali Blast,Google Ads,North,25-07-2024,19-08-2024,198033,8224,1150,578.57,493.02,Desktop,35-44
CMP17905,New Year,Google Ads,South,09-09-2024,10-04-2024,276014,16509,536,608.95,505.29,mobile ,18-24
CMP13846,Festive Offer,Linkedin,North,15-01-2024,16-02-2024,87991,2188,100,519.93,544.56,Tablet,25-34
CMP18592,New Year,Linkedin,North,30-03-2024,12-04-2024,240141,15680,1458,649.12,552.40,Unknown,55+
CMP22756,Diwali Blast,Face Book,East,20-02-2024,29-03-2024,24740,1514,245,632.22,566.70,mobile ,35-44
CMP09933,Diwali Blast,Email,West,14-12-2024,19-12-2024,219475,11960,668,604.62,602.38,Tablet,25-34
CMP17523,Festive Offer,Google Ads,East,30-07-2024,24-08-2024,140108,9356,313,611.75,610.29,mobile ,18-24
CMP28426,Black Friday,Linkedin,East,29-05-2024,06-11-2024,193407,14373,2119,616.61,613.31,Desktop,25-34
CMP12476,Back To School,Google Ads,East,09-10-2024,27-09-2024,44172,1723,241,705.30,619.50,mobile ,25-34
CMP27061,Festive Offer,Google Ads,North,05-12-2024,06-05-2024,44759,3254,260,642.48,641.69,mobile ,18-24
CMP21839,Summer Sale,Face Book,West,13-08-2024,30-08-2024,209429,12424,1381,641.07,644.66,Unknown,45-54
CMP26042,New Year,Youtube,North,30-03-2024,04-12-2024,140890,6983,1168,525.85,696.39,Mobile,55+
CMP18404,Festive Offer,Linkedin,North,30-07-2024,28-08-2024,9702,485,52,804.57,702.90,Mobile,35-44
CMP07505,Festive Offer,Facebook,North,23-03-2024,24-04-2024,58705,3375,593,557.06,705.76,Tablet,35-44
CMP12570,New Year,Google Ads,East,25-07-2024,14-08-2024,267795,14171,2225,880.98,708.03,Mobile,18-24
CMP06613,Diwali Blast,Instagram,South,21-01-2024,02-10-2024,6516,234,45,631.61,714.60,Tablet,25-34
CMP26125,Summer Sale,Face Book,North,11-07-2024,25-11-2024,146803,1793,310,540.17,714.92,Unknown,18-24
CMP19517,New Year,Youtube,North,23-03-2024,30-03-2024,194269,10209,1596,816.30,715.13,Mobile,18-24
